[2024-12-10 13:44:44,128: INFO: main: Logging is implememnted]
[2024-12-16 16:09:04,218: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 16:09:04,220: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 16:09:54,197: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 16:10:36,202: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 16:10:36,204: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 16:10:36,205: INFO: common: created directory at: artifacts]
[2024-12-16 16:10:36,206: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-16 16:10:39,324: INFO: 227420655: File is downloaded]
[2024-12-16 17:52:15,719: INFO: main: Data Ingestion Stage started]
[2024-12-16 17:52:15,722: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 17:52:15,722: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 17:52:15,722: INFO: common: created directory at: artifacts]
[2024-12-16 17:52:15,722: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-16 17:52:18,831: INFO: data_ingestion: File is downloaded]
[2024-12-16 17:52:18,954: INFO: main: Data Ingestion Stage completed]
[2024-12-16 18:02:52,924: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-16 18:07:31,291: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 18:07:31,293: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 18:07:31,294: INFO: common: created directory at: artifacts]
[2024-12-16 18:07:31,294: INFO: common: created directory at: artifacts/data_transformation]
[2024-12-16 18:20:05,593: INFO: config: PyTorch version 2.5.1 available.]
[2024-12-16 18:20:05,800: INFO: main: Data Ingestion Stage started]
[2024-12-16 18:20:05,802: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 18:20:05,803: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 18:20:05,803: INFO: common: created directory at: artifacts]
[2024-12-16 18:20:05,803: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-16 18:20:05,803: INFO: data_ingestion: File already exits]
[2024-12-16 18:20:05,928: INFO: main: Data Ingestion Stage completed]
[2024-12-16 18:20:05,928: INFO: main: Data Transformation Stage started]
[2024-12-16 18:20:05,930: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-12-16 18:20:05,930: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-16 18:20:05,930: INFO: common: created directory at: artifacts]
[2024-12-16 18:20:05,930: INFO: common: created directory at: artifacts/data_transformation]
[2024-12-16 18:20:10,935: INFO: main: Data Transformation Stage completed]
